company_code,order_number,employee,product,product_category,client,city,sale_date_time,product_cost,discount_amount,amount,total,form_of_payment,date,basket_id
39000,115,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:24:00,3.05,0.0,14.089,50.0,Debit Card,20170331,115no city20170331
39000,116,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:24:00,3.05,0.0,8.454,30.0,Money,20170331,116no city20170331
39000,119,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:32:00,3.05,0.0,5.636,20.0,Money,20170331,119no city20170331
39000,120,Donna Bailey,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:35:00,3.05,0.0,11.270999999999999,40.0,Money,20170331,120no city20170331
39000,121,Terri Tran,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 06:35:00,2.56,0.0,191.71200000000002,550.02,Debit Card,20170331,121no city20170331
39000,124,Terri Tran,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 06:39:00,2.51,0.0,17.864,50.0,Money,20170331,124no city20170331
39000,126,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:40:00,3.05,0.0,14.089,50.0,Debit Card,20170331,126no city20170331
39000,125,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:40:00,3.05,0.0,3.951,14.02,Money,20170331,125no city20170331
39000,128,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:42:00,3.05,0.0,11.270999999999999,40.0,Money,20170331,128no city20170331
39000,129,Curtis Newman,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 06:43:00,2.56,0.0,34.856,100.0,Debit Card,20170331,129no city20170331
39000,131,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:45:00,3.05,0.0,14.089,50.0,Credit Card,20170331,131no city20170331
39000,132,Donna Bailey,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 06:46:00,2.51,0.0,17.864,50.0,Debit Card,20170331,132no city20170331
39000,134,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:48:00,3.05,0.0,4.227,15.0,Money,20170331,134no city20170331
39000,135,Donna Bailey,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 06:49:00,2.51,0.0,35.728,100.0,Money,20170331,135no city20170331
39000,136,Brandon Martin,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 06:51:00,2.51,0.0,89.318,250.0,Money,20170331,136no city20170331
39000,137,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:51:00,3.05,0.0,42.26600000000001,150.0,Credit Card,20170331,137no city20170331
39000,138,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:52:00,3.05,0.0,14.089,50.0,Money,20170331,138no city20170331
39000,142,Donna Bailey,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 06:56:00,2.56,0.0,34.856,100.0,Debit Card,20170331,142no city20170331
39000,143,Donna Bailey,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 06:58:00,2.56,0.0,43.521,124.86,Credit Card,20170331,143no city20170331
39000,144,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:00:00,3.05,0.0,8.741,31.02,Money,20170331,144no city20170331
39000,146,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:01:00,3.05,0.0,14.089,50.0,Credit Card,20170331,146no city20170331
39000,148,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:03:00,3.05,0.0,14.089,50.0,Money,20170331,148no city20170331
39000,148,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:03:00,3.05,0.0,14.089,50.0,Money,20170331,148no city20170331
39000,148,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:03:00,3.05,0.0,14.089,50.0,Money,20170331,148no city20170331
39000,151,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:05:00,3.05,0.0,46.641999999999996,165.53,Debit Card,20170331,151no city20170331
39000,153,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:07:00,3.05,0.0,14.089,50.0,Money,20170331,153no city20170331
39000,156,Rosie Mullins,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 07:11:00,2.51,0.0,35.728,100.0,Money,20170331,156no city20170331
39000,159,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:12:00,3.05,0.0,5.636,20.0,Money,20170331,159no city20170331
39000,159,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:12:00,3.05,0.0,28.177,100.0,Money,20170331,159no city20170331
39000,161,Rosie Mullins,Special Diesel,Fuel,Elena Drake,Agririe,2017-03-31 07:14:00,2.51,0.0,53.591,150.0,Debit Card,20170331,161agririe20170331
39000,162,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:15:00,3.05,0.0,45.45,161.3,Money,20170331,162no city20170331
39000,164,Curtis Newman,Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:17:00,3.043,0.0,25.991,92.24,Money,20170331,164no city20170331
39000,164,Curtis Newman,Lubricant,Lubricant,Customer not informed,No City,2017-03-31 07:17:00,10.788,0.0,1.0,25.0,Money,20170331,164no city20170331
39000,165,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:18:00,3.05,0.0,14.089,50.0,Debit Card,20170331,165no city20170331
39000,166,Donna Bailey,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 07:19:00,2.56,0.0,97.595,280.0,Money,20170331,166no city20170331
39000,167,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:19:00,3.05,0.0,2.818,10.0,Money,20170331,167no city20170331
39000,167,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:19:00,3.05,0.0,11.270999999999999,40.0,Money,20170331,167no city20170331
39000,173,Rosie Mullins,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:22:00,3.05,0.0,14.089,50.0,Money,20170331,173no city20170331
39000,175,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:23:00,3.05,0.0,44.24100000000001,157.01,Credit Card,20170331,175no city20170331
39000,176,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:24:00,3.05,0.0,16.907,60.0,Money,20170331,176no city20170331
39000,179,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:25:00,3.05,0.0,13.249,47.02,Money,20170331,179no city20170331
39000,178,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:25:00,3.05,0.0,28.177,100.0,Money,20170331,178no city20170331
39000,182,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:26:00,3.05,0.0,5.636,20.0,Money,20170331,182no city20170331
39000,181,Terri Richards,Lubricant,Lubricant,Customer not informed,No City,2017-03-31 07:26:00,11.793,0.0,1.0,19.5,Money,20170331,181no city20170331
39000,183,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:27:00,3.05,0.0,28.177,100.0,Credit Card,20170331,183no city20170331
39000,185,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:29:00,3.05,0.0,5.636,20.0,Money,20170331,185no city20170331
39000,187,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:31:00,3.05,0.0,46.50100000000001,165.03,Money,20170331,187no city20170331
39000,188,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:32:00,3.05,0.0,1.973,7.0,Money,20170331,188no city20170331
39000,188,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:32:00,3.05,0.0,4.227,15.0,Money,20170331,188no city20170331
39000,189,Rosie Mullins,Diesel Auto Clean,Fuel,Lynn Vargas,Agririe,2017-03-31 07:33:00,2.56,0.0,34.856,100.0,Money,20170331,189agririe20170331
39000,192,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:36:00,3.05,0.0,28.177,100.0,Money,20170331,192no city20170331
39000,192,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:36:00,3.05,0.0,8.454,30.0,Money,20170331,192no city20170331
39000,193,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:37:00,3.05,0.0,23.951,85.0,Credit Card,20170331,193no city20170331
39000,194,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:37:00,3.05,0.0,2.818,10.0,Money,20170331,194no city20170331
39000,197,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:40:00,3.05,0.0,39.561,140.4,Money,20170331,197no city20170331
39000,199,Donna Bailey,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 07:43:00,2.56,0.0,33.11,94.99,Money,20170331,199no city20170331
39000,199,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:43:00,3.05,0.0,14.089,50.0,Money,20170331,199no city20170331
39000,199,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:43:00,3.05,0.0,8.454,30.0,Money,20170331,199no city20170331
39000,200,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:44:00,3.05,0.0,39.448,140.0,Money,20170331,200no city20170331
39000,202,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:46:00,3.05,0.0,14.089,50.0,Money,20170331,202no city20170331
39000,203,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:47:00,3.05,0.0,42.951,152.43,Debit Card,20170331,203no city20170331
39000,209,Rosie Mullins,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 07:49:00,2.56,0.0,4.6819999999999995,13.43,Money,20170331,209no city20170331
39000,208,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:49:00,3.05,0.0,5.636,20.0,Money,20170331,208no city20170331
39000,212,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:52:00,3.05,0.0,8.454,30.0,Money,20170331,212no city20170331
39000,213,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:53:00,3.05,0.0,5.636,20.0,Money,20170331,213no city20170331
39000,217,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:55:00,3.05,0.0,28.177,100.0,Credit Card,20170331,217no city20170331
39000,218,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 07:57:00,3.05,0.0,18.316,65.0,Money,20170331,218no city20170331
39000,219,Donna Bailey,Gasoline,Fuel,Rickey Castillo,Chiburgh,2017-03-31 07:59:00,3.043,0.0,15.002,53.24,Credit Card,20170331,219chiburgh20170331
39000,219,Donna Bailey,Lubricant,Lubricant,Rickey Castillo,Chiburgh,2017-03-31 07:59:00,1.452,0.0,3.0,9.75,Credit Card,20170331,219chiburgh20170331
39000,222,Donna Bailey,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:00:00,2.51,0.0,51.19,143.28,Credit Card,20170331,222no city20170331
39000,226,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:02:00,3.05,0.0,14.089,50.0,Money,20170331,226no city20170331
39000,226,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:02:00,3.05,0.0,4.227,15.0,Money,20170331,226no city20170331
39000,226,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:02:00,3.05,0.0,16.907,60.0,Money,20170331,226no city20170331
39000,229,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:04:00,3.05,0.0,11.55,40.99,Money,20170331,229no city20170331
39000,231,Donna Bailey,Diesel Auto Clean,Fuel,Bernard Dixon,Agririe,2017-03-31 08:05:00,2.56,0.0,88.882,255.0,Debit Card,20170331,231agririe20170331
39000,232,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:07:00,3.05,0.0,5.636,20.0,Money,20170331,232no city20170331
39000,233,Rosie Mullins,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:08:00,3.05,0.0,28.177,100.0,Debit Card,20170331,233no city20170331
39000,234,Lester Zimmerman,Special Gasoline,Fuel,Vickie James,Agririe,2017-03-31 08:09:00,3.05,0.0,28.177,100.0,Debit Card,20170331,234agririe20170331
39000,236,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:10:00,3.05,0.0,18.6,66.01,Debit Card,20170331,236no city20170331
39000,241,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:11:00,3.05,0.0,14.089,50.0,Money,20170331,241no city20170331
39000,241,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:11:00,3.05,0.0,5.636,20.0,Money,20170331,241no city20170331
39000,239,Terri Tran,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:11:00,2.51,0.0,17.864,50.0,Money,20170331,239no city20170331
39000,240,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:11:00,3.05,0.0,14.089,50.0,Money,20170331,240no city20170331
39000,249,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:17:00,3.05,0.0,55.089,195.51,Money,20170331,249no city20170331
39000,248,Rosie Mullins,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:17:00,3.05,0.0,5.636,20.0,Money,20170331,248no city20170331
39000,250,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:18:00,3.05,0.0,19.724,70.0,Money,20170331,250no city20170331
39000,255,Terri Tran,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 08:20:00,2.56,0.0,34.856,100.0,Credit Card,20170331,255no city20170331
39000,257,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:20:00,3.05,0.0,5.636,20.0,Money,20170331,257no city20170331
39000,258,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:22:00,3.05,0.0,37.29,132.34,Debit Card,20170331,258no city20170331
39000,259,Rosie Mullins,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:23:00,3.05,0.0,8.454,30.0,Money,20170331,259no city20170331
39000,261,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:24:00,3.05,0.0,31.84,113.0,Debit Card,20170331,261no city20170331
39000,262,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:25:00,3.05,0.0,25.36,90.0,Money,20170331,262no city20170331
39000,264,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:28:00,3.05,0.0,28.177,100.0,Credit Card,20170331,264no city20170331
39000,267,Devin Copeland,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:30:00,2.51,0.0,51.54,144.26,Debit Card,20170331,267no city20170331
39000,270,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:31:00,3.05,0.0,2.821,10.01,Credit Card,20170331,270no city20170331
39000,268,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:31:00,3.05,0.0,5.636,20.0,Money,20170331,268no city20170331
39000,268,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:31:00,3.05,0.0,2.818,10.0,Money,20170331,268no city20170331
39000,273,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:33:00,3.05,0.0,28.177,100.0,Money,20170331,273no city20170331
39000,272,Kimberly Mullins,Several,Several,Customer not informed,No City,2017-03-31 08:33:00,3.534,0.0,3.0,18.0,Money,20170331,272no city20170331
39000,276,Brandon Martin,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:34:00,2.51,0.0,53.591,150.0,Credit Card,20170331,276no city20170331
39000,278,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:35:00,3.05,0.0,14.089,50.0,Money,20170331,278no city20170331
39000,279,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:36:00,3.05,0.0,19.724,70.0,Money,20170331,279no city20170331
39000,283,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:39:00,3.05,0.0,18.316,65.0,Money,20170331,283no city20170331
39000,287,Lester Zimmerman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:40:00,2.51,0.0,10.722000000000001,30.01,Money,20170331,287no city20170331
39000,289,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:42:00,3.05,0.0,5.636,20.0,Money,20170331,289no city20170331
39000,289,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:42:00,3.05,0.0,14.089,50.0,Money,20170331,289no city20170331
39000,291,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:45:00,3.05,0.0,8.454,30.0,Money,20170331,291no city20170331
39000,291,Terri Tran,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:45:00,2.51,0.0,35.728,100.0,Money,20170331,291no city20170331
39000,294,Curtis Newman,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 08:46:00,2.56,0.0,62.75100000000001,180.03,Credit Card,20170331,294no city20170331
39000,299,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:48:00,3.05,0.0,14.089,50.0,Money,20170331,299no city20170331
39000,302,Rosie Mullins,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:50:00,3.05,0.0,11.270999999999999,40.0,Money,20170331,302no city20170331
39000,302,Curtis Newman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:50:00,2.51,0.0,25.009,70.0,Money,20170331,302no city20170331
39000,305,Lester Zimmerman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 08:54:00,2.51,0.0,53.591,150.0,Pre-paid check / Pre- date check,20170331,305no city20170331
39000,307,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:55:00,3.05,0.0,28.177,100.0,Credit Card,20170331,307no city20170331
39000,308,Brandon Martin,Special Gasoline,Fuel,Bennie Chavez,Agririe,2017-03-31 08:56:00,3.05,0.0,28.177,100.0,Money,20170331,308agririe20170331
39000,311,Donna Bailey,Lubricant,Lubricant,Leona Harrison,Agririe,2017-03-31 08:58:00,6.605,0.0,1.0,14.0,Money,20170331,311agririe20170331
39000,311,Donna Bailey,Filters,Filters,Leona Harrison,Agririe,2017-03-31 08:58:00,19.48,0.0,1.0,33.0,Money,20170331,311agririe20170331
39000,311,Donna Bailey,Lubricant,Lubricant,Leona Harrison,Agririe,2017-03-31 08:58:00,14.946,0.0,3.0,75.0,Money,20170331,311agririe20170331
39000,312,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 08:58:00,3.05,0.0,14.089,50.0,Money,20170331,312no city20170331
39000,316,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:00:00,3.05,0.0,0.99,3.51,Money,20170331,316no city20170331
39000,317,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:00:00,3.05,0.0,28.177,100.0,Credit Card,20170331,317no city20170331
39000,319,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:01:00,3.05,0.0,4.227,15.0,Money,20170331,319no city20170331
39000,319,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:01:00,3.05,0.0,5.636,20.0,Money,20170331,319no city20170331
39000,319,Jeannette Norman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:01:00,3.05,0.0,5.636,20.0,Money,20170331,319no city20170331
39000,318,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:01:00,3.05,0.0,39.451,140.01,Debit Card,20170331,318no city20170331
39000,319,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:01:00,3.05,0.0,5.636,20.0,Money,20170331,319no city20170331
39000,321,Terri Richards,Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:02:00,3.043,0.0,8.454,30.0,Money,20170331,321no city20170331
39000,324,Jeannette Norman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 09:03:00,2.51,0.0,17.864,50.0,Money,20170331,324no city20170331
39000,322,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:03:00,3.05,0.0,19.722,69.99,Credit Card,20170331,322no city20170331
39000,327,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:05:00,3.05,0.0,34.461,122.3,Credit Card,20170331,327no city20170331
39000,329,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:06:00,3.05,0.0,19.724,70.0,Money,20170331,329no city20170331
39000,331,Rosie Mullins,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:07:00,3.05,0.0,9.581,34.0,Money,20170331,331no city20170331
39000,334,Jeannette Norman,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 09:08:00,2.56,0.0,75.64,217.01,Credit Card,20170331,334no city20170331
39000,336,Devin Copeland,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:11:00,3.05,0.0,14.089,50.0,Money,20170331,336no city20170331
39000,337,Rosie Mullins,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:12:00,3.05,0.0,40.341,143.17,Money,20170331,337no city20170331
39000,340,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:14:00,3.05,0.0,14.089,50.0,Money,20170331,340no city20170331
39000,340,Lester Zimmerman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 09:14:00,3.05,0.0,14.089,50.0,Money,20170331,340no city20170331
39000,342,Jeannette Norman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 09:15:00,2.51,0.0,55.599,155.62,Debit Card,20170331,342no city20170331
